ID,Name,Job_role,Skills,Experience,Education,Summary
R142,Prisha,Frontend Developer,"Python, Fastapi, Postgresql, Oauth2, Sqlalchemy",4.9,M.Sc. Interaction Design,"Frontend Developer Experienced In Animations, Form Handling, And Frontend Apis."
R143,Manan,Frontend Developer,"Javascript, Express.Js, Mongodb, Jwt, Docker",5.4,B.E. Ui/Ux Engineering,Frontend Developer With Strong Skills In Interactive Interface Design And Usability Testing.
R144,Kritika,Frontend Developer,"Node.Js, Express.Js, Mongodb, Rest Apis, Docker",4.6,B.Tech Visual Computing,Experienced In Creating Responsive And Interactive Ui With Modern Frontend Tools And Frameworks.
R145,Sudeep,Frontend Developer,"Java, Spring Boot, Mysql, Hibernate, Jenkins",2.6,B.Sc. User Interface Design,"Proficient In React.Js, Css3, And Ui Component Development For Scalable Web Applications."
R146,Mounika,Backend Developer,"Python, Django, Postgresql, Celery, Redis",3.2,M.Sc. Digital Product Design,"Skilled In Building Restful Apis, Managing Databases, And Handling Server-Side Logic."
R147,Pratyush,Backend Developer,"Php, Laravel, Mysql, Rest Apis, Apache",4.4,B.E. Ui/Ux Design And Development,"Experienced In Backend Frameworks, Authentication Systems, And Cloud Deployments."
R148,Charitha,Backend Developer,"Go, Gin, Postgresql, Docker, Kubernetes",2.3,B.Sc. Web Design And Development,"Proficient In Node.Js, Express, And Backend Architecture For High-Performance Systems."
R149,Siddhi,Backend Developer,"Ruby On Rails, Sqlite, Redis, Sidekiq, Git",1.7,B.Tech Application Development,"Focused On Performance Optimization, Backend Security, And Data Layer Management."
R150,Akshay,Backend Developer,"Node.Js, Express, Mongodb, Restful Apis, Docker",3.9,M.Sc. Mobile Computing,"Hands-On Experience In Server-Side Development, Database Tuning, And Api Integration."
R151,Neeraj,Backend Developer,"Java, Spring Boot, Hibernate, Mysql, Git",4.2,B.Sc. Ios & Android Development,"Skilled In Rest Api Development, Database Modeling, And Backend Service Optimization."
R152,Shraddha,Backend Developer,"Python, Flask, Postgresql, Celery, Redis",3.6,B.Tech Cloud And App Security,"Proficient In Server-Side Scripting, Cloud Hosting, And Secure Api Architecture."
R153,Akhilesh,Machine Learning Engineer,"Php, Laravel, Mysql, Apache, Rest Apis",5.1,M.Sc. Software Development,"Experienced In Model Building, Data Preprocessing, And Deploying Ml Solutions."
R154,Haripriya,Machine Learning Engineer,"Go, Gin, Postgresql, Kubernetes, Microservices",4.7,B.E. App Development,"Specialized In Deep Learning, Image Recognition, And Python-Based Ml Frameworks."
R155,Bhargav,Machine Learning Engineer,"Ruby On Rails, Sqlite, Sidekiq, Redis, Git",2.9,B.Tech Cloud Technology,"Proficient In Regression Models, Classification Techniques, And Ml Lifecycle Management."
R156,Neha,Machine Learning Engineer,"Node.Js, Typescript, Postgresql, Rabbitmq, Docker",3.4,M.Sc. Cloud Security,"Hands-On With Supervised Learning, Nlp, And Machine Learning Automation Tools."
R157,Ramesh,Cloud Engineer,"Python, Django, Redis, Postgresql, Git",4.8,B.Sc. Ai And Robotics,"Expertise In Aws Cloud Services, Automation Scripts, And Network Configurations."
R158,Bhanu,Cloud Engineer,"Html, Css, Javascript, React, Tailwind",3.3,M.Tech Embedded Systems,"Experienced In Infrastructure As Code (Iac), Cloud Monitoring, And Cost Control."
R159,Kavya,Cloud Engineer,"Vue.Js, Bootstrap, Javascript, Css3, Git",2.7,B.E. Devops And Cloud,"Proficient In Cloud Orchestration, Security Configuration, And Ci/Cd Pipelines."
R160,Devesh,Cloud Engineer,"React, Javascript, Scss, Rest Apis, Webpack",4,B.Sc. Big Data Technologies,"Specialized In Scalable Cloud Architectures, Hybrid Deployments, And Failover Planning."
R161,Tanushree,Data Scientist,"Angular, Html, Css, Firebase, Typescript",2.5,M.Sc. Intelligent Systems,"Experienced In Statistical Modeling, Data Preprocessing, And Building Predictive Models."
R162,Arvind,Data Scientist,"Bootstrap, Html5, Css3, Ui Design, Jquery",3.6,B.Tech Ai And Data Engineering,"Skilled In Machine Learning, Data Visualization, And Exploratory Data Analysis Techniques."
R163,Hemalatha,Data Scientist,"Javascript, Tailwind, Vue.Js, Css Grid, Github",4.4,B.Sc. Data Visualization,"Expert In Data Cleaning, Feature Engineering, And Deploying Models To Production."
R164,Saurabh,Data Scientist,"React.Js, Redux, Typescript, Rest Apis, Git",2.1,M.Tech Data Security,"Hands-On With Deep Learning Frameworks, Nlp Models, And Large-Scale Data Handling."
R165,Shreya,Backend Developer,"Vue 3, Javascript, Pinia, Css Modules, Tailwind",1.9,B.E. Blockchain Technology,"Proficient In Backend Api Development, Database Integration, And Service Orchestration."
R166,Anubhav,Backend Developer,"React Native, Javascript, Firebase, Rest Api, Git",3.2,M.Sc. Cloud And Infrastructure,"Experienced In Server-Side Logic, Performance Tuning, And System Scalability."
R167,Revathi,Backend Developer,"Flutter, Dart, Firebase, Rest Api, Provider",4.9,B.Sc. Devops Engineering,"Backend Developer Skilled In Cloud Deployment, Ci/Cd Pipelines, And Api Security."
R168,Punit,Backend Developer,"Swift, Xcode, Mvvm, Core Data, Firebase",5.3,Mca,"Focused On Backend Framework Development, Microservices Architecture, And Data Modeling."
R169,Vishnu,Backend Developer,"Kotlin, Android Studio, Room, Coroutines, Firebase",2.8,B.Tech Full Stack Development,Experienced In Building Scalable Systems With Efficient Database Queries And Backend Testing.
R170,Sunaina,Backend Developer,"Flutter, Dart, Github, Firebase, Getx",3.5,B.Sc. Distributed Systems,Backend Expert In Designing Secure And Optimized Server Architectures For High-Traffic Apps.
R171,Omkar,Backend Developer,"React Native, Expo, Redux, Firebase, Git",2.6,M.Sc. Data Strategy,"Backend Developer With Expertise In Server-Side Programming, Scalable Apis, And System Integration."
R172,Deepthi,Backend Developer,"Swiftui, Ios Sdk, Firebase, Combine, Git",3.7,B.E. Web Engineering,"Skilled In Backend Services, Cloud Deployments, And Optimizing Data Pipelines."
R173,Rahul,Frontend Developer,"Kotlin, Jetpack Compose, Dagger Hilt, Firebase, Git",1.5,B.Tech System Programming,"Frontend Developer Proficient In Html/Css, Javascript, And Modern Frontend Libraries."
R174,Harika,Frontend Developer,"Flutter, Dart, Riverpod, Firebase, Rest Apis",2,B.Sc. Cloud Application Development,"Experienced In Responsive Web Design, Ui Frameworks, And Frontend Optimization."
R175,Vigneshwar,Frontend Developer,"React Native, Firebase, Redux, Rest Apis, Github",3.4,M.Sc. Advanced Computing,"Frontend Developer With Focus On User Interaction, Interface Design, And Accessibility."
R176,Nivetha,Frontend Developer,"Flutter, Dart, Bloc, Firebase Auth, Git",4.6,B.E. Frontend Architecture,"Frontend Specialist In Animations, Component-Driven Ui, And Web Standards Compliance."
R177,Krish,Frontend Developer,"Swift, Uikit, Core Ml, Cloudkit, Firebase",3.1,Mca,"Frontend Developer Skilled In Building Dynamic, Interactive, And Scalable Web Applications."
R178,Lakshmi,Frontend Developer,"Kotlin, Android, Mvvm, Firebase, Retrofit",2.3,B.Sc. Cloud Technology,"Frontend Engineer With Knowledge In Performance Tuning, State Management, And Testing."
R179,Tejasvi,Full Stack Developer,"React Native, Javascript, Firebase, Rest Apis, Expo",4.5,M.Sc. Data Governance,Full Stack Developer Experienced In Mern Stack Development And Deployment Pipelines.
R180,Vishal,Full Stack Developer,"Flutter, Dart, Provider, Firebase Firestore, Git",3.9,B.Tech Application Development,Full Stack Developer With Strong Foundation In Both Frontend And Backend Technologies.
R181,Diya,Full Stack Developer,"Kotlin, Android Jetpack, Retrofit, Firebase, Room",5,B.Tech Full Stack Development,"Full Stack Developer Skilled In Frontend-Backend Integration, Deployment, And Testing Pipelines."
R182,Sarvesh,Full Stack Developer,"Swift, Ios Sdk, Xcode, Autolayout, Firebase",2.7,B.Sc. Full Stack Web Dev,Experienced In Designing Scalable Web Applications Using Mern Stack And Restful Apis.
R183,Shweta,Full Stack Developer,"Python, Django, Flask, Pandas, Numpy",3.6,B.Sc. Computer Science,"Full Stack Developer Proficient In Database Modeling, Server-Side Scripting, And Ui Development."
R184,Arman,Full Stack Developer,"Python, Fastapi, Sqlalchemy, Postgresql, Rest",2.8,B.E. Computer Engineering,"Hands-On Experience In Cloud-Based Deployments, Version Control, And Api Integration."
R185,Aadhya,Mobile App Developer (Ios/Android),"Python, Pandas, Numpy, Scikit-Learn, Tensorflow",4.2,B.E. Mobile Application Development,Full Stack Developer With Strong Knowledge Of Javascript Frameworks And Agile Methodologies.
R186,Jayant,Mobile App Developer (Ios/Android),"Python, Jupyter, Data Analysis, Seaborn, Sklearn",1.8,B.Sc. Ios & Android Development,"Full Stack Developer With Experience In Team Collaboration, Code Optimization, And Full Sdlc."
R187,Vaani,Mobile App Developer (Ios/Android),"Python, Machine Learning, Deep Learning, Opencv, Tensorflow",2,M.Sc. Mobile Computing,Mobile App Developer Skilled In Cross-Platform Development Using Flutter And React Native.
R188,Siddharth,Mobile App Developer (Ios/Android),"Python, Nlp, Hugging Face, Transformers, Spacy",3.5,B.Tech Cloud And App Security,"Experienced In Ios/Android App Development, Ui Responsiveness, And Api Communication."
R189,Malavika,Mobile App Developer (Ios/Android),"Python, Data Science, Visualization, Pandas, Excel",4.3,B.Tech Information Technology,Mobile App Developer Proficient In Integrating Mobile Features Like Notifications And Geolocation.
R190,Nihal,Mobile App Developer (Ios/Android),"Python, Flask, Sqlite, Git, Heroku",3,B.Sc. Computer Applications,"Mobile App Developer Focused On Mobile Ux Design, Performance Tuning, And Release Management."
R191,Anjali,Mobile App Developer (Ios/Android),"Python, Django, Data Wrangling, Numpy, Scikit-Learn",2.6,B.Tech Application Development,"Mobile App Developer Experienced In Ios/Android Development, Api Integration, And Mobile Performance Tuning."
R192,Gaurav,Python Developer,"Python, Pandas, Scikit-Learn, Matplotlib, Seaborn",4.9,B.Tech Computer Science And Engineering,"Python Developer Skilled In Scripting, Automation, And Data-Driven Application Development."
R193,Komal,Python Developer,"Python, Numpy, Data Visualization, Deep Learning, Tensorflow",3.2,B.Sc. Computer Science,"Python Developer Experienced In Backend Development, Data Analysis, And Testing Frameworks."
R194,Sameer,Data Scientist,"Python, Pytorch, Cnns, Numpy, Pandas",2.4,M.Sc. Data Science,"Data Scientist Proficient In Statistical Modeling, Data Visualization, And Machine Learning Techniques."
R195,Renuka,Cloud Engineer,"Python, Lstm, Nltk, Tensorflow, Data Cleaning",1.7,M.Tech Cloud Computing,"Cloud Engineer With Expertise In Aws, Infrastructure Provisioning, And Cloud Cost Optimization."
R196,Zubin,Cloud Engineer,"Python, Seaborn, Jupyter, Ml Algorithms, Pandas",3.8,B.E. Electronics And Telecommunication,"Cloud Engineer Skilled In Cloud Automation, Monitoring Tools, And Hybrid Deployment Setups."
R197,Indira,Full Stack Developer,"Aws, Docker, Jenkins, Ci/Cd, Linux",2.2,Mca,"Full Stack Developer Experienced In Mern Stack, Agile Workflow, And Continuous Integration."
R198,Raghav,Full Stack Developer,"Azure, Kubernetes, Github Actions, Terraform, Bash",3.3,B.E. Software Systems,Full Stack Developer With Strong Backend/Frontend Integration And Restful Api Development.
R199,Sakshi,Full Stack Developer,"Gcp, Cloud Functions, Cloud Run, Python, Ci/Cd",4.7,B.Tech Full Stack Development,"Full Stack Developer Skilled In Responsive Ui, Database Handling, And Version Control Tools."
R200,Adarsh,Devops Engineer,"Aws, Ecs, Cloudformation, Cloudwatch, Iam",2.1,B.E. Devops And Cloud,"Devops Engineer With Experience In Ci/Cd Pipelines, Infrastructure As Code, And System Monitoring."
R201,Meera,Devops Engineer,"Azure, Aks, Virtual Networks, Devops, Powershell",3.1,M.Sc. Cloud And Infrastructure,"Experienced In Ci/Cd Tools, Containerization, And Automated Infrastructure Deployment."
R202,Tushar,Devops Engineer,"Aws, Ec2, S3, Eks, Terraform",2.5,B.Tech Cloud Technology,"Skilled In Jenkins, Docker, Kubernetes, And Monitoring Cloud-Native Systems."
R203,Aishani,Devops Engineer,"Linux, Bash, Docker, Kubernetes, Jenkins",4.4,M.Sc. Cloud Security,"Proficient In Version Control, Pipeline Scripting, And Continuous Delivery Practices."
R204,Rohit,Devops Engineer,"Terraform, Aws, Monitoring, Ci/Cd, Git",3,B.Sc. Cloud And Devops,"Hands-On With Devops Tools, Infrastructure Automation, And Environment Provisioning."
R205,Kavitha,Devops Engineer,"Kubernetes, Docker, Helm, Aws, Azure",2.3,B.Sc. Computer Science,"Focused On Release Engineering, Code Integration, And System Reliability Engineering."
R206,Yashika,Devops Engineer,"Linux, Nginx, Ansible, Jenkins, Aws",3.9,B.E. Computer Science And Engineering,"Experienced In System Automation, Log Management, And Scalable Deployment Strategies."
R207,Pradeep,Devops Engineer,"Network Security, Vulnerability Assessment, Kali Linux, Wireshark",1.9,B.Sc. Cloud Technology,"Skilled In Secure Devops Practices, Load Balancing, And Cloud Security Integration."
R208,Swathi,Devops Engineer,"Penetration Testing, Metasploit, Burp Suite, Owasp, Python",3.7,M.Sc. Software Development,"Proficient In Cloud Ci/Cd, Blue-Green Deployments, And Real-Time Monitoring."
R209,Harsh,Devops Engineer,"Cybersecurity, Risk Management, Firewalls, Siem, Nmap",4.8,B.Sc. Big Data Technologies,"Hands-On With Distributed Systems, Fault Tolerance, And Rollback Strategies."
R210,Rachana,Cybersecurity Analyst,"Ethical Hacking, Network Protocols, Python, Nessus, Mitre Att&Ck",2.6,B.Tech Cybersecurity,"Cybersecurity Analyst With Experience In Network Security, Vulnerability Assessment, And Penetration Testing."
R211,Amar,Cybersecurity Analyst,"Soc Analysis, Incident Response, Splunk, Qradar, Wireshark",3.2,B.Sc. Cybersecurity,"Cybersecurity Analyst Skilled In Penetration Testing, Security Tools, And Incident Response Strategies."
R212,Shravan,Cybersecurity Analyst,"Digital Forensics, Malware Analysis, Registry Analysis, Encase",5.1,B.Sc. Cybersecurity,"Cybersecurity Analyst With Expertise In Ethical Hacking, Vulnerability Assessment, And Secure Protocols."
R213,Vaibhavi,Cybersecurity Analyst,"Iam, Cloud Security, Azure Ad, Mfa, Security Policies",3.4,M.Sc. Cybersecurity,"Cybersecurity Analyst Experienced In Risk Analysis, Threat Detection, And Siem Tools."
R214,Devansh,Cybersecurity Analyst,"Information Security, Iso 27001, Risk Analysis, Grc, Dlp",2,B.Sc. Cybersecurity,"Cybersecurity Analyst With Hands-On Experience In Network Defense, Intrusion Detection, And Policy Enforcement."
R215,Pavithra,Cybersecurity Analyst,"Endpoint Security, Threat Intelligence, Crowdstrike, Edr",2.7,M.Sc. Cybersecurity,"Cybersecurity Analyst Focused On Digital Forensics, Malware Analysis, And Compliance Auditing."
R216,Atharv,Cybersecurity Analyst,"Quality Assurance, Manual Testing, Test Cases, Bug Reporting",4.5,B.Sc. Cybersecurity,"Cybersecurity Analyst With Knowledge Of Cloud Security, Iam, And Access Control Policies."
R217,Brinda,Cybersecurity Analyst,"Automation Testing, Selenium, Testng, Maven, Java",3.3,B.Tech Cybersecurity,"Cybersecurity Analyst Skilled In Soc Monitoring, Log Analysis, And Breach Investigation."
R218,Nishant,Cybersecurity Analyst,"Functional Testing, Regression Testing, Jira, Sdlc",2.9,B.Sc. Cybersecurity,"Cybersecurity Analyst Experienced In Identifying Vulnerabilities, Mitigating Threats, And Implementing Security Controls."
R219,Keerthi,Cybersecurity Analyst,"Manual Testing, Agile, Defect Tracking, Uat, Test Plans",1.6,B.Sc. Cybersecurity,"Cybersecurity Analyst With Strong Background In Endpoint Protection, Data Privacy, And Threat Intelligence."
R220,Arjit,Qa Engineer,"Performance Testing, Jmeter, Loadrunner, Analysis Reports",4,B.Sc. Cybersecurity,"Qa Engineer With Experience In Test Planning, Defect Tracking, And Quality Assurance Best Practices."
R221,Vaidehi,Qa Engineer,"Qa Automation, Cypress, Playwright, Javascript, Ci/Cd",3.8,B.Tech Computer Science,"Qa Engineer Skilled In Automation Testing, Selenium, And Continuous Integration Practices."
R222,Eshan,Qa Engineer,"Testing Frameworks, Rest Api Testing, Postman, Testrail",2.4,B.Tech Computer Science,"Qa Engineer Experienced In Manual Testing, Bug Tracking, And Test Case Execution."
R223,Aafreen,Qa Engineer,"Ui Testing, Selenium Webdriver, Bdd, Cucumber, Gherkin",4.3,B.Tech Computer Science,"Qa Engineer With Knowledge Of Functional Testing, Regression Testing, And Test Documentation."
R224,Chirag,Qa Engineer,"System Testing, Smoke Testing, Defect Life Cycle, Test Reports",1.5,B.Sc. Computer Science,"Qa Engineer Focused On Usability Testing, Agile Methodologies, And Test Planning."
R225,Nikita,Qa Engineer,"Usability Testing, Manual Test Scenarios, Zephyr, Agile Boards",2.2,B.Tech Computer Science,"Qa Engineer Skilled In Performance Testing, Jmeter, And Load Analysis."
R226,Yuvraj,Qa Engineer,"Figma, Sketch, Adobe Xd, Wireframing, Prototyping",3.6,B.Tech Computer Science,"Qa Engineer With Experience In Api Testing, Postman, And Reporting Tools."
R227,Soundarya,Qa Engineer,"Ui Design, User Research, Interaction Design, Visual Design",2.7,B.Tech Computer Science,"Qa Engineer With Strong Skills In Ui Testing, Defect Life Cycle Management, And Bdd Frameworks."
R228,Rithvik,Qa Engineer,"Ux Writing, Accessibility, Responsive Design, Adobe Xd",4.1,B.Sc. Computer Science,"Qa Engineer Experienced In System Testing, Smoke Testing, And Qa Reporting."
R229,Bhavana,Qa Engineer,"User Flow Design, Design Thinking, Journey Mapping, Personas",3.9,B.Sc. Computer Science,"Qa Engineer With Hands-On Expertise In Exploratory Testing, Agile Boards, And Test Scenarios."
R230,Manish,Ui/Ux Designer,"Mobile Ui, Low-Fidelity Prototypes, Zeplin, Uxpin, Animations",5,B.Tech Computer Science,"Ui/Ux Designer Skilled In Wireframing, Prototyping, And Visual Design For Web And Mobile Platforms."
R231,Niharika,Ui/Ux Designer,"Information Architecture, Color Theory, Typography, A/B Testing",2.8,B.Sc. Computer Science,"Ui/Ux Designer Experienced In User Research, Interaction Design, And Creating Intuitive Interfaces."
R232,Abhishek,Ui/Ux Designer,"Design Systems, Style Guides, Ui Guidelines, Component Libraries",4.6,B.Sc. Computer Science,"Ui/Ux Designer With Strong Skills In Responsive Design, Accessibility, And Design Systems."
R233,Sana,Ui/Ux Designer,"Adobe Creative Suite, Branding, Visual Storytelling, Mockups",3.1,B.Tech Computer Science,"Ui/Ux Designer Focused On User Flows, Journey Mapping, And Visual Storytelling."
R234,Kunal,Ui/Ux Designer,"Sql Server, Mysql, Oracle, Database Design, Indexing",2.1,B.Sc. Computer Science,"Ui/Ux Designer Skilled In Mobile Ui, Animations, And Cross-Platform Design."
R235,Pooja,Ui/Ux Designer,"Postgresql, Query Optimization, Pl/Sql, Data Modeling",4.2,B.Tech Computer Science,"Ui/Ux Designer Experienced In Branding, Mockups, And Ui Component Libraries."
R236,Tanish,Ui/Ux Designer,"Mongodb, Nosql, Backup & Recovery, Performance Tuning",2,B.Sc. Computer Science,"Ui/Ux Designer With Expertise In Design Tools, Creative Direction, And Prototyping Workflows."
R237,Anuja,Ui/Ux Designer,"Database Security, Stored Procedures, Triggers, Access Control",3.7,B.Tech Computer Science,"Ui/Ux Designer Focused On User-Centric Design, Usability Testing, And Product Improvement."
R238,Hrithik,Ui/Ux Designer,"Normalization, Entity-Relationship Modeling, Schema Design",1.9,B.Sc. Computer Science,Ui/Ux Designer Skilled In Designing Scalable Ui Systems And Maintaining Consistency Across Platforms.
R239,Laya,Ui/Ux Designer,"Sql Tuning, Views, Joins, Index Strategies, Data Integrity",2.6,B.Tech Computer Science,Ui/Ux Designer Experienced In Translating Business Goals Into Compelling Visual Experiences.
R240,Aryan,Database Administrator,"Cloud Databases, Aws Rds, Azure Sql, Google Cloud Sql",3,B.Sc. Computer Science,"Database Administrator Skilled In Database Design, Indexing, And Performance Tuning."
R241,Suhasini,Database Administrator,"Replication, Failover, High Availability, Database Clustering",4.7,B.Tech Computer Science,"Database Administrator Experienced In Query Optimization, Data Modeling, And Backup Strategies."
R242,Dev,Database Administrator,"Database Monitoring, Logs, Query Plans, Alerts",3.3,B.Sc. Computer Science,"Database Administrator Skilled In Nosql Databases, Performance Tuning, And Recovery Planning."
R243,Ritu,Database Administrator,"Sql Server, Mysql, Oracle, Database Design, Indexing",2.5,B.Tech Information Technology,"Database Administrator With Knowledge Of Database Security, Stored Procedures, And Access Control."
R244,Shaan,Database Administrator,"Postgresql, Query Optimization, Pl/Sql, Data Modeling",4.4,B.Sc. Information Technology,"Database Administrator Experienced In Schema Design, Normalization, And Relational Database Management."
R245,Mrinalini,Database Administrator,"Mongodb, Nosql, Backup & Recovery, Performance Tuning",1.8,B.Tech Computer Science,"Database Administrator With Expertise In Sql Tuning, Indexing Strategies, And Data Integrity."
R246,Shyam,Database Administrator,"Database Security, Stored Procedures, Triggers, Access Control",3.5,B.Sc. Computer Science,"Database Administrator Focused On High Availability, Replication, And Disaster Recovery."
R247,Yamuna,Database Administrator,"Normalization, Entity-Relationship Modeling, Schema Design",2.3,B.Tech Computer Science,"Database Administrator Skilled In Monitoring Tools, Query Logs, And Performance Analysis."
R248,Arush,Database Administrator,"Sql Tuning, Views, Joins, Index Strategies, Data Integrity",4.9,B.Sc. Computer Science,Database Administrator Experienced In Handling Large-Scale Databases And Ensuring Data Consistency.
R249,Vedika,Database Administrator,"Cloud Databases, Aws Rds, Azure Sql, Google Cloud Sql",3.6,B.Tech Computer Science,"Database Administrator Proficient In Managing Cloud Databases, Clustering, And Database Upgrades."
R250,Mahesh,Database Administrator,"Replication, Failover, High Availability, Database Clustering",2.2,B.Sc. Computer Science,"Database Administrator With Strong Skills In Database Architecture, Tuning, And Troubleshooting."
